NACA 4412
     0.999446   -0.033325
     0.996751   -0.032390
     0.991873   -0.030707
     0.985623   -0.028565
     0.978301   -0.026079
     0.970087   -0.023318
     0.961104   -0.020333
     0.951447   -0.017163
     0.941190   -0.013840
     0.930394   -0.010392
     0.919112   -0.006841
     0.907390   -0.003209
     0.895266    0.000488
     0.882778    0.004232
     0.869956    0.008010
     0.856830    0.011807
     0.843427    0.015613
     0.829772    0.019415
     0.815889    0.023205
     0.801797    0.026972
     0.787519    0.030709
     0.773073    0.034407
     0.758477    0.038059
     0.743748    0.041658
     0.728903    0.045198
     0.713958    0.048672
     0.698926    0.052076
     0.683824    0.055403
     0.668663    0.058649
     0.653458    0.061809
     0.638221    0.064879
     0.622966    0.067854
     0.607702    0.070730
     0.592443    0.073504
     0.577199    0.076173
     0.561982    0.078732
     0.546801    0.081178
     0.531667    0.083510
     0.516590    0.085723
     0.501580    0.087815
     0.486647    0.089784
     0.471799    0.091627
     0.457045    0.093343
     0.442396    0.094930
     0.427858    0.096385
     0.413442    0.097708
     0.399154    0.098894
     0.385003    0.099902
     0.370994    0.100719
     0.357138    0.101348
     0.343440    0.101788
     0.329910    0.102043
     0.316554    0.102113
     0.303379    0.102002
     0.290395    0.101713
     0.277606    0.101247
     0.265022    0.100609
     0.252648    0.099803
     0.240491    0.098831
     0.228559    0.097698
     0.216858    0.096408
     0.205395    0.094967
     0.194176    0.093378
     0.183209    0.091647
     0.172498    0.089780
     0.162052    0.087782
     0.151875    0.085658
     0.141974    0.083414
     0.132356    0.081057
     0.123026    0.078592
     0.113991    0.076026
     0.105256    0.073366
     0.096827    0.070617
     0.088710    0.067786
     0.080911    0.064880
     0.073435    0.061905
     0.066288    0.058867
     0.059476    0.055774
     0.053004    0.052630
     0.046878    0.049444
     0.041103    0.046220
     0.035684    0.042964
     0.030627    0.039683
     0.025937    0.036381
     0.021619    0.033065
     0.017678    0.029738
     0.014119    0.026407
     0.010948    0.023074
     0.008169    0.019745
     0.005787    0.016422
     0.003807    0.013111
     0.002233    0.009809
     0.001071    0.006522
     0.000325    0.003255
     0.000000    0.000000
     0.000101   -0.003180
     0.000625   -0.006244
     0.001570   -0.009187
     0.002929   -0.012013
     0.004699   -0.014716
     0.006875   -0.017306
     0.009451   -0.019781
     0.012424   -0.022142
     0.015788   -0.024390
     0.019538   -0.026526
     0.023670   -0.028551
     0.028178   -0.030467
     0.033057   -0.032275
     0.038303   -0.033976
     0.043909   -0.035572
     0.049872   -0.037064
     0.056186   -0.038455
     0.062844   -0.039745
     0.069843   -0.040937
     0.077177   -0.042033
     0.084840   -0.043035
     0.092826   -0.043945
     0.101130   -0.044765
     0.109747   -0.045499
     0.118670   -0.046149
     0.127894   -0.046718
     0.137413   -0.047209
     0.147221   -0.047626
     0.157311   -0.047970
     0.167678   -0.048248
     0.178316   -0.048461
     0.189218   -0.048614
     0.200378   -0.048711
     0.211789   -0.048756
     0.223445   -0.048753
     0.235339   -0.048708
     0.247464   -0.048624
     0.259814   -0.048506
     0.272382   -0.048360
     0.285160   -0.048189
     0.298141   -0.047999
     0.311319   -0.047795
     0.324685   -0.047582
     0.338232   -0.047364
     0.351952   -0.047148
     0.365838   -0.046938
     0.379882   -0.046739
     0.394075   -0.046556
     0.408410   -0.046380
     0.422880   -0.046176
     0.437476   -0.045942
     0.452190   -0.045683
     0.467014   -0.045400
     0.481936   -0.045099
     0.496950   -0.044780
     0.512044   -0.044448
     0.527211   -0.044105
     0.542438   -0.043754
     0.557717   -0.043397
     0.573036   -0.043038
     0.588386   -0.042677
     0.603755   -0.042319
     0.619131   -0.041963
     0.634503   -0.041614
     0.649858   -0.041271
     0.665185   -0.040937
     0.680471   -0.040613
     0.695701   -0.040301
     0.710861   -0.040001
     0.725938   -0.039713
     0.740916   -0.039439
     0.755780   -0.039179
     0.770512   -0.038933
     0.785095   -0.038702
     0.799512   -0.038485
     0.813741   -0.038283
     0.827764   -0.038094
     0.841558   -0.037918
     0.855099   -0.037755
     0.868363   -0.037605
     0.881321   -0.037466
     0.893945   -0.037338
     0.906202   -0.037220
     0.918055   -0.037112
     0.929464   -0.037012
     0.940384   -0.036921
     0.950760   -0.036837
     0.960530   -0.036761
     0.969620   -0.036692
     0.977933   -0.036630
     0.985343   -0.036575
     0.991670   -0.036529
     0.996608   -0.036494
     0.999336   -0.036474
